City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,saint-philippe,-21.3585,55.7679,27.77,83,84,5.72,RE,1675829750
84,roald,62.5833,6.1333,8.08,49,84,11.83,NO,1675829986
85,bolobo,-2.1667,16.2333,22.29,84,47,1.71,CD,1675829986
86,neuquen,-38.9516,-68.0591,22.94,38,0,5.14,AR,1675829928
87,cabo san lucas,22.8909,-109.9124,20.28,44,84,2.07,MX,1675829576
88,vardo,70.3705,31.1107,-0.01,74,19,5.14,NO,1675829987
89,geraldton,-28.7667,114.6,33.23,35,0,3.6,AU,1675829720
90,mount darwin,-16.7725,31.5838,17.84,96,78,0.69,ZW,1675829987
91,lagoa,39.05,-27.9833,12.78,63,86,6.63,PT,1675829815
92,jinka,5.65,36.65,18.04,36,2,0.93,ET,1675829988
93,vao,-22.6667,167.4833,26.8,71,41,6.2,NC,1675829988
94,victoria,22.2855,114.1577,20.54,83,96,5.81,HK,1675829503
95,atuona,-9.8,-139.0333,26.13,76,22,7.43,PF,1675829576
96,port hardy,50.6996,-127.4199,3.1,100,75,1.54,CA,1675829876
97,egvekinot,66.3167,-179.1667,-30.3,88,89,3.88,RU,1675829989
98,vestmannaeyjar,63.4427,-20.2734,-0.27,65,100,16.07,IS,1675829989
99,muroto,33.2833,134.15,13.34,54,7,2.94,JP,1675829990
100,camapua,-19.5314,-54.0439,20.53,94,99,0.43,BR,1675829990
101,isangel,-19.55,169.2667,27.5,76,94,1.18,VU,1675829755
102,la union,-5.4,-80.75,25.4,69,82,4.64,PE,1675829529
103,gwadar,25.1216,62.3254,22.16,63,3,1.79,PK,1675829990
104,grand-santi,4.25,-54.3833,21.63,100,43,1.03,GF,1675829991
105,shingu,33.7333,135.9833,15.12,35,4,3.93,JP,1675829991
106,andenes,69.3143,16.1194,4.96,75,75,15.95,NO,1675829991
107,kiunga,-6.1219,141.2906,29.55,70,80,3.05,PG,1675829992
108,cabedelo,-6.9811,-34.8339,24.37,77,99,3.83,BR,1675829992
109,esperance,-33.8667,121.9,22.28,64,71,5.54,AU,1675829581
110,comodoro rivadavia,-45.8667,-67.5,15.92,44,0,2.06,AR,1675829992
111,kodiak,57.79,-152.4072,-5.27,63,0,7.72,US,1675829492
112,ilulissat,69.2167,-51.1,-26.99,76,75,2.57,GL,1675829630
113,saint george,37.1041,-113.5841,7.75,51,0,2.57,US,1675829606
114,puerto escondido,15.85,-97.0667,24.8,70,1,2.81,MX,1675829993
115,deputatskiy,69.3,139.9,-41.27,98,51,1.56,RU,1675829769
116,coquimbo,-29.9533,-71.3436,17.85,88,100,2.57,CL,1675829515
117,kualakapuas,-3.0091,114.3876,31.55,60,91,1.73,ID,1675829993
118,yei,4.095,30.6779,19.65,28,13,0.97,SS,1675829994
119,pangody,65.85,74.4859,-19.93,94,86,5.88,RU,1675829994
120,yar-sale,66.8333,70.8333,-13.67,84,100,10.34,RU,1675829739
121,longyearbyen,78.2186,15.6401,-5.09,68,40,4.12,SJ,1675829622
122,yayva,59.3303,57.2641,-16.51,98,100,2.88,RU,1675829994
123,say,13.1007,2.3689,23.31,13,87,4.46,NE,1675829995
124,moindou,-21.6924,165.677,27.68,78,100,2.3,NC,1675829995
125,kaeo,-35.1,173.7833,25.18,63,31,3.77,NZ,1675829857
126,yarmouth,41.7057,-70.2286,2.76,86,100,3.09,US,1675829996
127,galle,6.0367,80.217,25.81,84,94,0.84,LK,1675829996
128,beringovskiy,63.05,179.3167,-28.98,95,69,3.45,RU,1675829909
129,askarovo,53.3372,58.5089,-18.47,85,75,1.0,RU,1675829997
130,bambous virieux,-20.3428,57.7575,27.14,78,40,5.14,MU,1675829625
131,mayo,38.8876,-76.5119,10.49,83,0,2.57,US,1675829737
132,east london,-33.0153,27.9116,20.52,94,100,4.63,ZA,1675829780
133,salvador,13.8333,-88.9167,22.81,57,39,1.09,SV,1675829997
134,el cope,8.6167,-80.6,19.47,93,73,4.3,PA,1675829997
135,airai,-8.9266,125.4092,20.94,80,82,1.58,TL,1675829818
136,alice springs,-23.7,133.8833,34.75,29,40,5.66,AU,1675829998
137,severo-kurilsk,50.6789,156.125,-4.35,70,20,4.12,RU,1675829998
138,bonthe,7.5264,-12.505,23.95,81,25,1.43,SL,1675830000
139,hermanus,-34.4187,19.2345,18.78,84,0,5.59,ZA,1675829749
140,kushima,31.4583,131.2333,15.68,66,65,1.68,JP,1675830000
141,labrea,-7.2586,-64.7981,22.44,97,86,0.74,BR,1675830001
142,moose factory,51.2585,-80.6094,-17.0,71,0,4.63,CA,1675830001
143,olafsvik,64.8945,-23.7142,-2.34,56,100,13.21,IS,1675830002
144,apac,1.9756,32.5386,19.82,50,2,1.18,UG,1675830002
145,port lincoln,-34.7333,135.8667,24.39,53,33,4.11,AU,1675829740
146,karymskoye,51.6167,114.35,-11.29,74,30,1.08,RU,1675830003
147,lata,40.1629,-8.3327,5.12,85,37,3.02,PT,1675830004
148,cleburne,32.3476,-97.3867,8.85,98,100,2.68,US,1675830004
149,cockburn town,21.4612,-71.1419,25.48,74,1,10.41,TC,1675829870
150,arraial do cabo,-22.9661,-42.0278,23.7,92,100,2.26,BR,1675829738
151,kapaa,22.0752,-159.319,25.99,85,75,7.2,US,1675829733
152,brandon,27.9378,-82.2859,21.13,74,0,1.79,US,1675829881
153,hobyo,5.3505,48.5268,25.41,67,95,6.75,SO,1675829907
